12-05-2022 11:47:59 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:48:08 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:48:08 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:48:08 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:48:08 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:48:08 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:48:12 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:54:42 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:8 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:58:33 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:5 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:59:09 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:05:24 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:06:18 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:17:04 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:11 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:17:36 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:18:09 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:23:09 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:23:39 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:26:44 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:20 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:27:10 map[_clientIP:::1 _dataLength:143669 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/swagger/swagger-ui.css _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:27:10 map[_clientIP:::1 _dataLength:337216 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/swagger/swagger-ui-standalone-preset.js _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:27:10 map[_clientIP:::1 _dataLength:1091405 _hostname:LAPTOP-P2S904C5 _latency:20 _method:GET _path:/swagger/swagger-ui-bundle.js _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:27:11 map[_clientIP:::1 _dataLength:16836 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/swagger/doc.json _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:27:15 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:31:17 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:8 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:32:53 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:7 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:33:49 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
